SLID,species,tissue_class,tissue_type,main_cancer_type,cancer_type,cancer_type_detail,main_spatial_layer,spatial_layer,Cell_type_composition,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,main_Phenotype_label,Phenotype_label,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence
SL011,human,brain,brain,Brain cancer,Glioblastoma,glioblastoma,Spatial niche,niches surrounding the blood vessels,"ECs and fibroblasts
immune cells, glial cells, and fibroblasts，PVM，mesenchymal and OPC-like cells",38805346,Spatial analysis of recurrent glioblastoma reveals perivascular niche organization,JCI Insight,2024,immunofluorescence,Olympus FV3000 Confocal Microscope,Clinical phenotype,Tumor Recurrence,recurrence,clinical samples,single-cell spatial transcriptomic,CosMx platform ,RNA,"-The most interesting was the organization of the niches surrounding the blood vessels in recurrent tumors. In these areas, niche 1, which is a vascular niche composed of ECs and fibroblasts, was surrounded by niche 7, enriched with immune cells, glial cells, and fibroblasts (Figure 5I). PVM cells of recurrent tumors were primarily found in this zone. These areas were also encapsulated by niches rich in mesenchymal and OPC-like cells (Figure 5H). No such structured organization was observed around vasculature of primary tumor samples.
-Of note, 2 different types of immune cells were associated with the blood vessels in recurrent tumor tissue: the perivascular macrophages (“PVM”), expressing CD68, CD14, CD74, and CD163, corresponding with CD163+ immunostaining, and the SPP1-, CCL7-, and CEACAM1-expressing cells (“Immune”)
-Recurrent samples were enriched in mesenchymal-like tumor cells (“MES”). We observed these MES cells arranging in spatial niches surrounding collagen-rimmed vessels (Figure 5H)."
SL012,mouse,breast,breast,Breast cancer,Breast cancer,breast cancer,Spatial niche,ST_2(‘proliferative’compartment) in four spatially distinct compartments within ER+ breast cancers.,"the MKI67+ cells (PNP, PPP, NPP and NNP) ",38282415,"Molecular features of luminal breast cancer defined
through spatial and single-cell transcriptomics",Clinical and Translational Medicine,2024,Spatial transcriptomics,10x Genomics,Clinical phenotype,Overall Survival,significantly shorter survival,clinical samples,survival analysis,analysis,clinical data,"· Patients in the high score group of ST_2, ST_5 and ST_7 signatures had significantly shorter survival, suggesting that these populations were potentially associated with more aggressive features of ER+ breast cancers. 
· High ST_0（oestrogen-responsive population） and ST_2 scores were associated with better and worse survival outcomes, respectively (Figure S21), the same as those observed in the METABRIC dataset (Figure 7A)
· The results from these analysessuggest that the spatially distinct ST_2 group (including MKI67+ cells) had more impact than ST_0（oestrogen-responsive population） on luminal cancer prognose"
SL013,human,breast,breast,Breast tumors,ER- breast tumors,ER- breast tumors,Cell co-localization,interaction between NOS2hi tumor cells and CD8+ T cells,NOS2hi tumor cells and CD8+ T cells,37169743,Interferon-gamma is quintessential for NOS2 and COX2 expression in ER- breast tumors that lead to poor outcome,Cell Death & Disease,2023,Hematoxylin and Eosin (H&E) and mIF staining,Leica Biosystems BOND RX Autostainer,Biological phenotype,Tumor Metastasis,metastasis,clinical samples,vitro scratch assay,"inverted microscope (EVOS, Life Technologies, Carlsbad, CA)",cell,"NOS2hi regions were near stromarestricted CD8+ T cells.NOS2hi areas exhibited small tumor clusters that appeared to break away from the primary lesion (satellitosis), indicative of metastatic niches.
These results suggest that the upregulation of NOS2/COX2 tumor expression within an inflammatory niche could generate phenotypes with increased metastatic potential.
These earlier observations suggest that increased tumor NOS2 expression and clustering would generate a flux of NO that enhances the metastatic potential of exposed cells within that niche."
SL014,human,Cervix,Cervix,Cervical cancer,Cervical squamous cell carcinoma,Cervical squamous cell carcinoma (CSCC),Cell co-localization,interaction between MP6 tmalignant squamous cells and CAF-MMP11 fibroblast cells,MP6 tmalignant squamous cells and CAF-MMP11 fibroblast cells,37985817,Multiomic analysis of cervical squamous cell carcinoma identifies cellular ecosystems with biological and clinical relevance,nature genetics,2023,Spatial transcriptome,unknow,Biological phenotype,Immune Suppression,Immunosuppression,clinical samples,cell culture,NA,cell,"CAF-MMP11 cells exhibited high levels of LRRC15 (Fig. 5f), whose presence was directly linked to the inhibitory effect on the antitumor immune response.
Fibroblasts neighboring MP6 tumor cells exhibited elevated immunosuppressive CAF signatures (Fig. 5g, left). Meanwhile, CytoSPACE revealed that fibroblast cells surrounding MP6, especially in the tumor–stroma border region, are predominantly CAF-MMP11.
Thus, TGFβ production and downstream signaling in MP6 tumors are at least partly mediated through FABP5.
Strikingly, the induction of TGFβ-inducible genes by the conditioned medium was found to be markedly decreased in ko-FABP5 cells (Fig. 7i). These results indicate that MP6 tumors produce FABP5-dependent TGFβ activity promoting CAF state transition to drive immune exclusion."
SL015,human,colon,colon,Colorectal cancer,Colorectal cancer,CRC,Spatial niche,tumor buds,budding cells,36669472,Multiplexed 3D atlas of state transitions and immune interaction in colorectal cancer,cell,2023,"H&E, cyclic immunofluorescence(CyCIF)",unknow,Biological phenotype,Tumor Invasion,"Invasion, EMT-like transitions",clinical samples," scRNA-seq,GeoMx transcriptomics"," inDrop,NanoString Technologies",RNA and Protein,"We conclude that EMT-like transitions and TB in CRC1 is characterized not by the formation of isolated spheres of cells, as first described by Weinberg and colleagues in tissue culture, but instead by the formation of large fibrillar structures that appear to be small buds when viewed in cross-section at their distal tips. Fibrils can invade into several different environments, including stroma and mucin, and we speculate that their formation is driven by a gradual (not abrupt) breakdown in cell adhesion associated with a graded EMT-like transition (Figure 5F)"
SL016,human,colon,colon,Colorectal cancer,Colorectal cancer,CRC,Tissue structure,TLS networks,"B cells (CD20+), T cells (CD8+, CD45RO+, FOXP3+), macrophages (CD68+, CD163+), myeloid cells (PDL1+)",36669472,Multiplexed 3D atlas of state transitions and immune interaction in colorectal cancer,cell,2023,"H&E, cyclic immunofluorescence(CyCIF)",unknow,Clinical phenotype,Drug Response,good prognosis and immune checkpoint inhibitor (ICI) responsiveness,clinical samples, cyclic immunofluorescence(CyCIF),unknow,Protein,"From these data, we conclude that our single 3D reconstruction of a TLS in CRC1 is a reasonable exemplar of our overall cohort in showing that: (1) TLSs form interconnected 3D networks rather than the isolated structures observed in 2D sections, (2) TLS networks within a single tumor can have different cellular compositions, and (3) variation in cell types and functional markers within a single large TLS network is graded, implying intra-TLS patterning and communication."
SL017,human,colon,colon,Colorectal cancer,Colorectal cancer,colorectal cancer,Cell co-localization,Interactions between MFAP5+ fibroblasts and C1QC+ macrophages,"MFAP5+ fibroblasts, C1QC+ macrophages",37344903,Interactions between MFAP5+fbroblasts and tumor-infltrating myeloid cells shape the malignant microenvironment of colorectal cancer,Journal of Translational Medicine,2023,"Spatial transcriptomics, multiplex immunohistochemistry (mIHC)","10x Genomics, Wuhan Servicebio Technology Co., Ltd",Clinical phenotype,Overall Survival,poor prognosis,clinical samples,survival analysis,analysis,clinical data,"We observed that MFAP5+fbro blasts mainly infiltrated fibroblast areas that were close to M2-phenotype macrophages (marked by CD68 and CD163) but opposite to anti-tumor T cells or B cells (Fig. 3C and Additional file 1: Fig. S5).
the mIHC assay confirmed the co-localization of MFAP5+fbroblasts and C1QC+macrophages within the tumor regions. In contrast, there were few C1QC+macrophages around the MFAP5+fbroblasts in normal tissues, suggesting that crosstalk between these cells mainly occurred in tumor tissues (Fig. 4H and Additional file 1: Fig. S8)
We assessed the clinical value of C1QC+macrophages in four independent CRC cohorts. We observed that patients with low infiltration of MFAP5+fbroblasts and high levels of C1QC+macrophages experienced better prognoses. In contrast, patients with high expression of both cell types demonstrated poor outcomes in the three cohorts (Fig. 4I).
we observed that compared with the MFAP5+ fibroblastshigh and C1QC+ macrophageshigh groups, patients with lower MFAP5+fbroblast infiltration and higher C1QC+macrophage infiltration demonstrated better prognoses (Additional file 1: Fig. S11). "
SL018,human,colon,colon,Colorectal cancer,Colorectal cancer,Colorectal cancer (CRC),Tissue structure,an immune-excluded desmoplasic barrier,"GJA4+ fibroblasts, M2 macrophages",38833783,GJA4 expressed on cancer associated fibroblasts (CAFs)—A ‘promoter’ of the mesenchymal phenotype,Translational Oncology,2024,spatial transcriptomic,"the Beijing Institute of Genomics Chinese Academy of Sciences China National Center for Bioinformation (http://www.big.ac.cn/, accession number: VISDS000781 and VISDS000782)",Biological phenotype,Immune Exclude,immune exclude,clinical samples,Immunofluorescence,unknow,protein,"Score points for each cluster of GJA4+ fibroblast or M2 macrophage signatures estimated by ‘xCell’ algorithm highlighted clusters of GJA4+ fibroblasts and M2 macrophages co-localizing at the same point and wrapping around epithelial cells to prevent CD8+ T cell infiltration (Fig. 5E-F).
In addition, the signature score of GJA4+ fibroblasts and M2 macrophages showed significantly positive correlation (Fig. 5I-J, R = 0.342, P < 0.001; R = 0.230, P < 0.001).
Immunofluorescence labeling further demonstrated that GJA4+ fibroblasts mediated the above ‘immune-excluded’ phenomenon. We observed that CD8+ T cells infiltrated the tumor tissue periphery, and GJA4 appeared to hinder them entry into the central tumor area (Fig. 5M).
Taken together, our results suggest GJA4+ fibroblasts may act synergistically with M2 macrophages to limit immune cells infiltration into the tumor core by stimulating the formation of an immune-excluded desmoplasic barrier. "
SL019,human,colon,colon,Colorectal cancer,Colorectal cancer,colorectal cancer,Tissue structure,a structural boundary generated by Macro-SPP1 and Fib-APSN localized around the tumor ,"SPP1+ macrophage,APSN+ fibroblast and PLVAP + endothelial cells",36806082,Reconstruction of the tumor spatial microenvironment along the malignant-boundary-nonmalignant axis,nature communications,2023,Spatial transcriptomics,10×Genomics,Clinical phenotype,Immune Exclude,Worse prognosis and tumor immune exclusion,clinical samples,Survival analysis,analysis,cell,"There was a high fibroblast, macrophage, and endothelial cell component at the tumor boundary, suggestive of cellular composition commonalities in tumor boundaries.
We examined the expression of CD3-encoding genes of the IDC tissue and found consistency with the CD3 fluorescence (Supplementary Fig. 4k).This suggests the tumor boundary acts as a barrier, lymphocytes such as T and B cells are restricted from infiltrating into the malignant region, thus a microenvironment of immune exclusion is formed.
Macro-SPP1 and Fib-APSN are preferentially enriched in the tumor boundary, which exhibited stronginteractions with each other and significantly with tumor cells.
We examined the distribution of T cell infiltration and found that killer T cells (T-KLRB1) were significantly enriched outside malignant regionswhile exhausted T cells (T-HAVCR2) were enriched at the tumor boundary (Fig. 5i); the infiltration of these cells is limited to the malignant region.
we performed survival analysis and observed that high ieScore was associated with worse overall survival (log-rank test, p = 0.039) and progression-free survival (log-rank test, p = 0.04, Fig. 5k). "
SL020,human,colon,colon,Colorectal cancer,Colorectal cancer,Colorectal Cancer,Cell co-localization,CD74+PDL1+ Macrophages Interact with PD1+ CD8+ T Cells(coinfiltration),"CD74+PDL1+ Macrophages
PD1+ Cytotoxic and Proliferating CD8 T Cells",34197832,Immunogenomics of Colorectal Cancer Response to Checkpoint Blockade: Analysis of the KEYNOTE 177 Trial and Validation Cohorts,Gastroenterology,2021,IMC,NA,Clinical phenotype,Drug Response,durable benefit from immunotherapy,clinical samples,mIF,inForm (Akoya Biosciences),protein,#NAME?
SL021,Human,Gut,Colorectum,Colorectal cancer,Colorectal cancer,Colorectal Cancer,Cellular neighbourhoods,Desmoplastic structure formation,"FAP+ fibroblasts, SPP1+ macrophages",35365629,Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer,Nat Commun,2022,spatial transcriptome,10x Genomics,Clinical phenotype,Overall Survival,Shorter survival,clinical samples,H-score system in tissue microarray,NA,clinical data,"We found that the FAP+ fibroblasts and SPP1+ macrophages were the most highly correlated populations across all examined cohorts. Patients with both high FAP+ fibroblasts and SPP1+ macrophages exhibited the shortest PFS compared with the signature combination groups, suggesting that these two cell types can synergistically promote tumor progression.
Then, we assessed the protein expression levels by the H-score system in tissue microarray (TMA) of 78 CRC patients to identify FAP and SPP1 both specifically increased in tumor tissue compared with adjacent normal tissue (Fig. 5d, e) and found patients with high protein levels of FAP or SPP1 enrolled in this TMA cohort exhibited shorter OS"
SL022,human,Gut,Colorectum,Colorectal cancer,Colorectal cancer,colorectal cancer and colorectal polyp,Spatial niche,Treg-mregDC-lymphatic niche,Tregs and mregDCs,39029466,Lymphatic-localized Treg-mregDC crosstalk limits antigen trafficking and restrains anti-tumor immunity,Cancer Cell,2024,scRNA;immunofluorescence,"inDrops,BD Bioscience",Biological phenotype,Drug Response,impeding the initiation of antitumor adaptive immune responses,"clinical samples,mouse model", spatial transcriptomic,10x Genomics,"protein,mouse","These tdTomato-marked mregDCs were closely associated with Tregs in the peri-lymphatic region, forming what we now recognize as a Treg-mregDC-lymphatic niche (Figure 3B and Video S2).
Collectively, these findings suggest that the crosstalk between Tregs and mregDCs fosters a highly activated state in Tregs and thus enhances their suppressive functions within the TME.

Within this comprehensive examination, we identified a total of ten TCGA cohorts, particularly kidney renal clear cell carcinoma (KIRC) and rectum adenocarcinoma (READ), where individuals with lower expression levels of activated Treg gene signature showed substantial survival advantages compared to those bearing the actTreghigh mregDChigh signatures (Figures 7F andS8E)."
SL023,human,esophageal,esophageal,Esophageal cancer,Esophageal squamous cell carcinoma,esophageal squamous cell carcinoma (ESCC),Tissue structure,a fibrous barrier,α‑SMA+ CAFs and CD163+ MØs,372541.26,Spatial analysis of stromal signatures  identifes invasive front carcinoma-associated fbroblasts as suppressors of anti-tumor immune response in esophageal cancer,"Journal of Experimental &
Clinical Cancer Research",2023,IMC,unknow,Biological phenotype,Immune Infiltration,blocks tumor‑infltrating immune cells,clinical samples,Immunohistochemical,Panovue,protein,"the abundance of α-SMA+ CAFs correlated with CD163+ MØs, in addition, we observed significantly positive correlations among α-SMA+ CAFs, CD163+ MØs and antitumor immune cells (i.e. CTLA4, FOXP3, CD4 and CD8 T cells, Fig.  1E-G).
The histopathological features of tumor tissue with or without α-SMA+ CAFs in the leading-edge area were further characterized, and showed that the presence of α-SMA+ CAFs at the invasive front form a fibrous barrier with CD163+ MØs to hinder immunologic effector cell infiltration (such as granzyme B+ immune cells, CD4+and CD8+ T cells), whereas the absence of α-SMA+ CAFs in the leading-edge area was associated with high intratumoral immune infiltration"
SL024,human,gastric,gastric,Gastric cancer,Gastric cancer,gastric cancer (GC),Cell co-localization,LAMA‑CD44 crosstalk between tumor cells and B cells,"Tumor epithelial cells, B cells",39215354,Re-analysis of single cell and spatial transcriptomics data reveals B cell landscape in gastric cancer microenvironment and its potential crosstalk with tumor cells for clinical prognosis,Journal of Translational Medicine,2024,Spatial transcriptomics (ST),10×Genomics,Clinical phenotype,Overall Survival,Poor survival,clinical samples,Survival analysis,analysis,clinical data,"In order to further select reliable L/R pairs between tumor cells and B cells, we evaluated their expression levels in tissue slices using ST data analysis. Based on the expression and biological localization analysis of L/R pairs, we identified four pairs of L/R pairs (LAMA3/CD44, MDK/SDC1 (Fig.5F), CCL28/CCR10, and GDF/TGFBR2 (sFig.7A,B)) with high reliability between tumor cells and B cells and these L/Rs were also observed in tumor epithelial cells and B cells (Fig.5G, H).
Also, in two large immunotherapy cohorts (CheckMate (n=250), and IMvigor210 (n=298)), LAMA/CD44 pairs were associated with poor prognosis.
LAMA/CD44 pairs had a higher AUC value (average 0.7), indicated that the LAMA/CD44 axis might be a potential immunotherapy prediction marker for GC immunotherapy. LAMA/CD44 in the TCGA-STAD cohort was also associated with poor disease-free survival (DFS) (P=0.026), and in multiple immunotherapy cohorts, LAMA/CD44 pair was also associated with poor OS. "
